id,name,level,parent_id,parent_name
97,"Home decor",1,5,"Vintage & collectibles"
99,"Accessories",1,5,"Vintage & collectibles"
100,"Housewares",1,5,"Vintage & collectibles"
101,"Supplies",1,5,"Vintage & collectibles"
102,"Antique",1,5,"Vintage & collectibles"
103,"Paper ephemera",1,5,"Vintage & collectibles"
104,"Serving",1,5,"Vintage & collectibles"
106,"Bags and purses",1,5,"Vintage & collectibles"
108,"Electronics",1,5,"Vintage & collectibles"
109,"Furniture",1,5,"Vintage & collectibles"
111,"Other",1,5,"Vintage & collectibles"
112,"Housewares",1,9,"Handmade"
113,"Arts & Crafts",,,""
114,"Woodworking",1,9,"Handmade"
115,"Ceramics and pottery",1,9,"Handmade"
116,"Glass",1,9,"Handmade"
118,"Weddings",1,9,"Handmade"
119,"Holidays",1,9,"Handmade"
121,"Children",1,9,"Handmade"
122,"Needlecraft",1,9,"Handmade"
123,"Geekery",1,9,"Handmade"
124,"Paper goods",1,9,"Handmade"
125,"Candles",1,9,"Handmade"
126,"Patterns",1,9,"Handmade"
127,"Crochet",1,9,"Handmade"
128,"Furniture",1,9,"Handmade"
129,"Quilts",1,9,"Handmade"
130,"Accessories",1,9,"Handmade"
131,"Pets",1,9,"Handmade"
134,"Knitting",1,9,"Handmade"
135,"Bags and purses",1,9,"Handmade"
136,"Jewelry",1,9,"Handmade"
137,"Books and zines",1,9,"Handmade"
138,"Clothing",1,9,"Handmade"
139,"Music",1,9,"Handmade"
140,"Other",1,9,"Handmade"
141,"Books",,,""
143,"Pet Supplies",,,""
144,"Daily & travel items",1,10,"Other"
145,"Automotive",1,10,"Other"
146,"Office Supplies",1,10,"Other"
147,"Musical instruments",1,10,"Other"
148,"Other",1,10,"Other"
149,"Above knee, mini",,,""
150,"Knee-length",,,""
151,"Midi",2,11,"Dresses"
155,"Blouse",,,""
161,"T-shirts",,,""
169,"Crewneck",,,""
203,"Other",2,15,"Pants"
252,"Shoulder Bags",2,21,"Women's handbags"
253,"Tote Bags",2,21,"Women's handbags"
254,"Crossbody Bags",,,""
261,"Sunglasses",2,22,"Women's accessories"
262,"Wallets",2,22,"Women's accessories"
264,"Belts",2,22,"Women's accessories"
265,"Hats",2,22,"Women's accessories"
266,"Hair accessories",2,22,"Women's accessories"
267,"Watches",2,22,"Women's accessories"
268,"Other",2,22,"Women's accessories"
269,"Rings",,,""
270,"Necklaces",2,23,"Jewelry"
271,"Earrings",,,""
272,"Bracelets",,,""
283,"Athletic",,,""
284,"Boots",,,""
297,"Button-front",,,""
303,"T-shirts",,,""
306,"Hoodie",2,28,"Sweats & hoodies"
339,"Cargo",2,32,"Shorts"
359,"Vest",2,33,"Coats & jackets"
391,"Belts",2,38,"Men's accessories"
392,"Hats",2,38,"Men's accessories"
393,"Sunglasses",2,38,"Men's accessories"
394,"Ties",2,38,"Men's accessories"
395,"Watches",2,38,"Men's accessories"
396,"Other",2,38,"Men's accessories"
397,"Athletic",2,39,"Shoes"
482,"Car seats",2,49,"Car seats & accessories"
490,"Diaper bags",2,50,"Diapering"
499,"Storage & containers",2,51,"Feeding"
514,"Playards",2,52,"Gear"
526,"Thermometers",2,53,"Health & baby care"
527,"Toothbrushes",2,53,"Health & baby care"
528,"Other",2,53,"Health & baby care"
529,"Bedding",2,54,"Nursery"
532,"Other",2,54,"Nursery"
576,"Kitchen Bakeware",1,4,"Home"
577,"Kitchen Coffee & Espresso Makers",1,4,"Home"
578,"Kitchen Cookware",1,4,"Home"
579,"Kitchen Dinnerware",1,4,"Home"
580,"Kitchen Serveware",1,4,"Home"
582,"Kitchen & Table Linens",1,4,"Home"
584,"Kitchen Utensils",1,4,"Home"
585,"Kitchen Small Appliances",1,4,"Home"
586,"Kitchen Storage",1,4,"Home"
588,"Kitchen Bar & Wine Accessories",1,4,"Home"
606,"Bathroom accessories",2,63,"Bath"
610,"Other",2,63,"Bath"
611,"Bedroom Furniture",1,4,"Home"
612,"Kitchen Furniture",1,4,"Home"
615,"Home Office Furniture",1,4,"Home"
616,"Living Room Furniture",1,4,"Home"
617,"Bathroom Furniture",1,4,"Home"
618,"Other Furniture",1,4,"Home"
619,"Furniture Hardware & Parts",1,4,"Home"
622,"Baskets",2,65,"Home decor"
625,"Decorative pillows",2,65,"Home decor"
630,"Home decor accents",2,65,"Home decor"
631,"Home fragrance",2,65,"Home decor"
637,"Window treatments",2,65,"Home decor"
639,"Other",2,65,"Home decor"
646,"Christmas",2,67,"Seasonal decor"
647,"Easter",2,67,"Seasonal decor"
648,"Halloween",2,67,"Seasonal decor"
653,"St patrick's",2,67,"Seasonal decor"
668,"Kitchen appliances",2,68,"Home appliances"
686,"Jewelry boxes & organizers",2,69,"Storage & organization"
692,"Household cleaners",2,70,"Cleaning supplies"
703,"Soccer",2,72,"Team sports"
705,"Basketball Equipment",1,8,"Sports & outdoors"
707,"Football",2,72,"Team sports"
714,"Fitness accessories",2,73,"Exercise"
719,"Bowling",2,73,"Exercise"
723,"Cleats",2,74,"Footwear"
724,"Men",2,74,"Footwear"
725,"Women",2,74,"Footwear"
726,"Kids",2,74,"Footwear"
728,"Men",2,75,"Apparel"
729,"Women",2,75,"Apparel"
730,"Boys",2,75,"Apparel"
734,"Men's golf clubs",2,76,"Golf"
736,"Golf apparel",2,76,"Golf"
741,"Other",2,76,"Golf"
744,"Fishing Gear",1,8,"Sports & outdoors"
745,"Water sports",2,77,"Outdoors"
746,"Indoor/outdoor games",2,77,"Outdoors"
749,"Snowboarding Gear",1,8,"Sports & outdoors"
750,"Skateboard Gear",1,8,"Sports & outdoors"
752,"MLB",2,78,"Fan shop"
753,"NFL",2,78,"Fan shop"
755,"NBA",2,78,"Fan shop"
756,"NCAA",2,78,"Fan shop"
774,"Networking & connectivity",2,81,"Computers & Laptops"
775,"Computer Components & Parts",1,7,"Electronics"
779,"Cell phone accessories",2,82,"Cell phones & accessories"
791,"Home surveillance",2,1580,"Smart Home & Security"
795,"Other",2,83,"TV & Video"
796,"Games",2,84,"Video games & consoles"
798,"Accessories",2,84,"Video games & consoles"
801,"Video Game Merchandise",1,7,"Electronics"
814,"Blu-ray",2,86,"Media"
815,"DVD",2,86,"Media"
816,"CD",2,86,"Media"
817,"VHS",2,86,"Media"
818,"Other",2,86,"Media"
820,"Bath",2,88,"Bath & body"
822,"Cleansers",2,88,"Bath & body"
825,"Other",2,88,"Bath & body"
826,"Women",2,89,"Fragrance"
827,"Men",2,89,"Fragrance"
830,"Sets",2,89,"Fragrance"
831,"Other",2,89,"Fragrance"
834,"Hair color",2,90,"Hair care"
841,"Styling products",2,90,"Hair care"
845,"Eyes",2,91,"Makeup"
846,"Face",2,91,"Makeup"
847,"Lips",2,91,"Makeup"
848,"Makeup palettes",2,91,"Makeup"
849,"Makeup remover",2,91,"Makeup"
851,"Nails",2,91,"Makeup"
854,"Body",2,92,"Skin care"
855,"Eyes",2,92,"Skin care"
856,"Face",2,92,"Skin care"
857,"Feet",2,92,"Skin care"
859,"Lips",2,92,"Skin care"
862,"Sun",2,92,"Skin care"
863,"Other",2,92,"Skin care"
867,"Epilators",2,93,"Tools & accessories"
868,"Hair coloring tools",2,93,"Tools & accessories"
869,"Hair styling tools",2,93,"Tools & accessories"
872,"Nail tools",2,93,"Tools & accessories"
903,"Wall hanging",2,97,"Home decor"
904,"Vase",2,97,"Home decor"
906,"Lighting",2,97,"Home decor"
907,"Box",2,97,"Home decor"
908,"Candle holder",2,97,"Home decor"
911,"Tray",2,97,"Home decor"
912,"Pillow",2,97,"Home decor"
913,"Frame",2,97,"Home decor"
915,"Other",2,97,"Home decor"
939,"Glass",2,100,"Housewares"
940,"Bowl",2,100,"Housewares"
941,"Cup",2,100,"Housewares"
943,"Plate",2,100,"Housewares"
946,"Towel",2,100,"Housewares"
953,"Magnet",2,100,"Housewares"
954,"Other",2,100,"Housewares"
956,"Fabric",2,101,"Supplies"
962,"Charm",2,101,"Supplies"
965,"Yarn",2,101,"Supplies"
971,"Collectibles",2,102,"Antique"
985,"Postcard",2,103,"Paper ephemera"
986,"Advertisement",2,103,"Paper ephemera"
991,"Other",2,103,"Paper ephemera"
993,"Glassware",2,104,"Serving"
995,"Flatware",2,104,"Serving"
997,"Salt and pepper shakers",2,104,"Serving"
998,"Pitcher",2,104,"Serving"
999,"Cream and sugar set",2,104,"Serving"
1000,"Mug",2,104,"Serving"
1002,"Platter",2,104,"Serving"
1003,"Teapot",2,104,"Serving"
1005,"Dinnerware set",2,104,"Serving"
1006,"Tumbler",2,104,"Serving"
1010,"Comics",,,""
1011,"Fiction Books",,,""
1033,"Travel & Luggage",1,10,"Other"
1054,"Clock",2,108,"Electronics"
1060,"Other",2,108,"Electronics"
1071,"Desk",2,109,"Furniture"
1085,"Pillows",2,112,"Housewares"
1086,"Wall decor",2,112,"Housewares"
1092,"Clocks",2,112,"Housewares"
1094,"Rugs",2,112,"Housewares"
1097,"Office",2,112,"Housewares"
1099,"Cleaning",2,112,"Housewares"
1113,"Home decor",2,114,"Woodworking"
1133,"Home decor",2,115,"Ceramics and pottery"
1135,"Bowls",2,115,"Ceramics and pottery"
1148,"Home decor",2,116,"Glass"
1153,"Dishes",2,116,"Glass"
1155,"Paperweights",2,116,"Glass"
1157,"Ornaments",2,116,"Glass"
1160,"Beads",2,116,"Glass"
1192,"Christmas",2,119,"Holidays"
1234,"Pillow",2,122,"Needlecraft"
1235,"Cross stitch",2,122,"Needlecraft"
1264,"Cards",2,124,"Paper goods"
1266,"Scrapbooking",2,124,"Paper goods"
1268,"Stationery",2,124,"Paper goods"
1270,"Calendar",2,124,"Paper goods"
1298,"Sewing",2,126,"Patterns"
1300,"Quilt",2,126,"Patterns"
1312,"Afghan",2,127,"Crochet"
1343,"Applique",2,129,"Quilts"
1347,"Patch",2,129,"Quilts"
1351,"Women",2,130,"Accessories"
1354,"Keychain",2,130,"Accessories"
1356,"Cozy",2,130,"Accessories"
1357,"Patch",2,130,"Accessories"
1360,"Charm",2,130,"Accessories"
1363,"Men",2,130,"Accessories"
1372,"Lanyard",2,130,"Accessories"
1435,"Tote",2,135,"Bags and purses"
1444,"Laptop",2,135,"Bags and purses"
1446,"Hip bag",2,135,"Bags and purses"
1453,"Book",2,137,"Books and zines"
1463,"Costume",2,138,"Clothing"
1468,"Lingerie",2,138,"Clothing"
1472,"Vinyl",2,139,"Music"
1473,"Poster",2,139,"Music"
1477,"Tape",2,139,"Music"
1482,"Literary Fiction Books",,,""
1509,"Baby & child care",2,144,"Daily & travel items"
1510,"Health care",2,144,"Daily & travel items"
1512,"Medical supplies & equipment",2,144,"Daily & travel items"
1513,"Personal care",2,144,"Daily & travel items"
1517,"Car care",2,145,"Automotive"
1518,"Car electronics & accessories",2,145,"Automotive"
1519,"Exterior accessories",2,145,"Automotive"
1520,"Interior accessories",2,145,"Automotive"
1522,"Motorcycle & powersports",2,145,"Automotive"
1523,"Automotive Oils & Fluids",1,10,"Other"
1524,"Paint, body & trim",2,145,"Automotive"
1526,"Replacement parts",2,145,"Automotive"
1529,"Tools & equipment",2,145,"Automotive"
1530,"Automotive enthusiast merchandise",2,145,"Automotive"
1544,"Guitars",2,147,"Musical instruments"
1547,"Keyboards",2,147,"Musical instruments"
1554,"Instrument accessories",2,147,"Musical instruments"
1558,"Other",2,147,"Musical instruments"
1560,"Wallets",2,38,"Men's accessories"
1561,"Underwear",1,1,"Women"
1573,"Wearables",1,7,"Electronics"
1580,"Smart Home & Security",1,7,"Electronics"
1586,"Other",2,1580,"Smart Home & Security"
1587,"Home Audio",1,7,"Electronics"
1588,"Bluetooth Speakers",2,1587,"Home Audio"
1593,"Headphones & MP3 Players",1,7,"Electronics"
1595,"Monitors & Screens",2,81,"Computers & Laptops"
1596,"Computer Accessories",2,81,"Computers & Laptops"
1597,"Tablets & E-readers",1,7,"Electronics"
1599,"PC Gaming",2,84,"Video games & consoles"
1603,"Drones",1,7,"Electronics"
1604,"Drones",2,1603,"Drones"
1606,"Virtual Reality",1,7,"Electronics"
1607,"VR Headsets",2,1606,"Virtual Reality"
1609,"VR Accessories",2,1606,"Virtual Reality"
1611,"Toys & Collectibles",,,""
1612,"Action Figures & Accessories",,,""
1613,"Action Figures",,,""
1619,"Dolls & Accessories",,,""
1620,"Fashion Dolls",,,""
1629,"Collectibles & Hobbies",,,""
1634,"Figurines",,,""
1642,"Paper Collectibles",,,""
1644,"Pins",,,""
1648,"Building Toys",,,""
1712,"Stuffed Animals & Plush",,,""
1713,"Stuffed Animals",,,""
1780,"Trading Cards",,,""
1787,"Other Sports Trading Cards",,,""
1790,"Vintage & Antique Toys",,,""
1796,"Cars",,,""
1853,"Party Supplies",1,4,"Home"
1856,"Party Decorations",2,1853,"Party Supplies"
1860,"Party Favors",2,1853,"Party Supplies"
1870,"Girls accessories",1,3,"Kids"
1871,"Girls bottoms",1,3,"Kids"
1872,"Girls coats & jackets",1,3,"Kids"
1873,"Girls dresses",1,3,"Kids"
1874,"Girls one-pieces",1,3,"Kids"
1875,"Girls shoes",1,3,"Kids"
1876,"Girls swimwear",1,3,"Kids"
1877,"Girls tops & t-shirts",1,3,"Kids"
1878,"Girls other",1,3,"Kids"
1879,"Boys accessories",1,3,"Kids"
1880,"Boys bottoms",1,3,"Kids"
1881,"Boys coats & jackets",1,3,"Kids"
1882,"Boys one-pieces",1,3,"Kids"
1883,"Boys swimwear",1,3,"Kids"
1884,"Boys shoes",1,3,"Kids"
1885,"Boys tops & t-shirts",1,3,"Kids"
1886,"Boys other",1,3,"Kids"
1888,"Girls 0-24 mos",2,1871,"Girls bottoms"
1890,"Girls 0-24 mos",2,1873,"Girls dresses"
1891,"Girls 0-24 mos",2,1874,"Girls one-pieces"
1898,"Girls 2T-5T",2,1872,"Girls coats & jackets"
1900,"Girls 2T-5T",2,1874,"Girls one-pieces"
1901,"Girls 2T-5T",2,1875,"Girls shoes"
1903,"Girls 2T-5T",2,1877,"Girls tops & t-shirts"
1906,"Girls (4+)",2,1871,"Girls bottoms"
1907,"Girls (4+)",2,1872,"Girls coats & jackets"
1908,"Girls (4+)",2,1873,"Girls dresses"
1911,"Girls (4+)",2,1877,"Girls tops & t-shirts"
1912,"Girls (4+)",2,1878,"Girls other"
1916,"Boys 0-24 mos",2,1882,"Boys one-pieces"
1919,"Boys 0-24 mos",2,1885,"Boys tops & t-shirts"
1922,"Boys 2T-5T",2,1880,"Boys bottoms"
1925,"Boys 2T-5T",2,1884,"Boys shoes"
1927,"Boys 2T-5T",2,1885,"Boys tops & t-shirts"
1929,"Boys (4+)",2,1879,"Boys accessories"
1930,"Boys (4+)",2,1880,"Boys bottoms"
1931,"Boys (4+)",2,1881,"Boys coats & jackets"
1932,"Boys (4+)",2,1884,"Boys shoes"
1933,"Boys (4+)",2,1883,"Boys swimwear"
1934,"Boys (4+)",2,1885,"Boys tops & t-shirts"
1935,"Boys (4+)",2,1886,"Boys other"
1936,"Shorts",1,1,"Women"
1947,"Sleepwear & robes",1,1,"Women"
1957,"Tank Tops",,,""
1964,"Skinny Jeans",,,""
1968,"Athletic Leggings",2,19,"Athletic apparel"
1980,"Athletic Hoodies",2,19,"Athletic apparel"
1987,"Scarves",2,22,"Women's accessories"
2018,"Athletic Hoodies",2,36,"Athletic apparel"
2024,"Backpacks",2,38,"Men's accessories"
2025,"Bags",2,38,"Men's accessories"
2026,"Briefcases",2,38,"Men's accessories"
2037,"Kids Bathing Towels",2,48,"Bathing & skin care"
2040,"Baby Changing Pads",2,50,"Diapering"
2049,"Baby Bottles",2,51,"Feeding"
2050,"Feeding Bibs",2,51,"Feeding"
2051,"Kids Feeding Accessories",2,51,"Feeding"
2053,"Pacifiers",2,51,"Feeding"
2056,"Baby Carriers",2,52,"Gear"
2072,"Kitchen Cutlery",1,4,"Home"
2081,"Bed Sheets",2,62,"Bedding"
2082,"Pillowcases",2,62,"Bedding"
2086,"Pillow Covers",2,62,"Bedding"
2087,"Pillow Inserts",2,62,"Bedding"
2088,"Blankets",2,62,"Bedding"
2089,"Throws",2,62,"Bedding"
2092,"Candle Holders",2,65,"Home decor"
2095,"Home Candles",2,65,"Home decor"
2100,"Home Decor Lamps",2,65,"Home decor"
2101,"Home Decor Lighting",2,65,"Home decor"
2102,"Home Decor Lamp Accessories",2,65,"Home decor"
2103,"Photo Albums",2,65,"Home decor"
2104,"Picture Frames",2,65,"Home decor"
2109,"Posters",2,66,"Artwork"
2115,"Vacuums",2,68,"Home appliances"
2122,"Storage Bins",2,69,"Storage & organization"
2126,"Baseball Equipment",1,8,"Sports & outdoors"
2129,"Yoga Equipment",1,8,"Sports & outdoors"
2131,"Skating Equipment",2,77,"Outdoors"
2132,"Camping Equipment",1,8,"Sports & outdoors"
2133,"Hiking Equipment",2,77,"Outdoors"
2134,"Camera Filters",2,80,"Cameras & photography"
2149,"Printers",2,81,"Computers & Laptops"
2155,"Cell Phone Cases",2,82,"Cell phones & accessories"
2161,"Cell Phone Cables",2,82,"Cell phones & accessories"
2162,"Home Speakers",2,1587,"Home Audio"
2173,"Body Care",2,88,"Bath & body"
2187,"Stationery",2,144,"Daily & travel items"
2191,"Automotive Tires",2,145,"Automotive"
2192,"Automotive Wheels & Rims",2,145,"Automotive"
2195,"Musical Instrument Amplifiers",2,147,"Musical instruments"
2209,"Bobbleheads",,,""
2253,"Computer CPUs",2,775,"Computer Components & Parts"
2256,"Computer Memory (RAM)",2,775,"Computer Components & Parts"
2258,"Computer Power Supplies",2,775,"Computer Components & Parts"
2267,"Other Computer Parts & Components",2,775,"Computer Components & Parts"
2289,"Kitchen Potholders",2,582,"Kitchen & Table Linens"
2305,"Kitchen Baking & Cake Accessories",1,4,"Home"
2320,"Decanters",2,588,"Kitchen Bar & Wine Accessories"
2329,"Kitchen Barware",1,4,"Home"
2334,"Highball Glasses",2,2329,"Kitchen Barware"
2338,"Shot Glasses",2,2329,"Kitchen Barware"
2343,"Espresso & Cappuccino Machines",2,577,"Kitchen Coffee & Espresso Makers"
2347,"Casserole Pans",2,578,"Kitchen Cookware"
2367,"Kitchen Knife Blocks",2,2072,"Kitchen Cutlery"
2378,"Bowls",2,579,"Kitchen Dinnerware"
2380,"Dinnerware Sets",2,579,"Kitchen Dinnerware"
2381,"Salad Plates",2,579,"Kitchen Dinnerware"
2383,"Kitchen Drinkware",1,4,"Home"
2384,"Coffee Mugs",2,2383,"Kitchen Drinkware"
2385,"Drinking Glasses",2,2383,"Kitchen Drinkware"
2387,"Straws",2,2383,"Kitchen Drinkware"
2388,"Tea Cups",2,2383,"Kitchen Drinkware"
2390,"Tumblers",2,2383,"Kitchen Drinkware"
2391,"Water Bottles",2,2383,"Kitchen Drinkware"
2393,"Kitchen Flatware",1,4,"Home"
2413,"Kitchen Gadgets & Tools",1,4,"Home"
2441,"Serving Bowls",2,580,"Kitchen Serveware"
2442,"Serving Platters",2,580,"Kitchen Serveware"
2475,"Food Storage Containers",2,586,"Kitchen Storage"
2484,"Kitchen Spice Jars",2,586,"Kitchen Storage"
2487,"Other Kitchen Storage",2,586,"Kitchen Storage"
2488,"Kitchen Tea & Accessories",1,4,"Home"
2522,"Fashion Gloves",2,38,"Men's accessories"
2545,"Fishing Hooks",2,744,"Fishing Gear"
2548,"Fishing Lures",2,744,"Fishing Gear"
2550,"Fishing Reels",2,744,"Fishing Gear"
2571,"Ski Gear",1,8,"Sports & outdoors"
2581,"Ski Hats",2,2571,"Ski Gear"
2586,"Ski Socks",2,2571,"Ski Gear"
2588,"Snowboard Accessories",2,749,"Snowboarding Gear"
2597,"Baseball Trading Cards",,,""
2598,"Basketball Trading Cards",,,""
2600,"Football Trading Cards",,,""
2603,"Collectible Coins",1,5,"Vintage & collectibles"
2609,"Collectible Paper Money",1,5,"Vintage & collectibles"
2612,"Other Collectible Paper Money",2,2609,"Collectible Paper Money"
2613,"Collectible Postage",1,5,"Vintage & collectibles"
2621,"Other Collectible Stamps",2,2613,"Collectible Postage"
2626,"Fashion Gloves",2,22,"Women's accessories"
2633,"Garden & Outdoor",,,""
2874,"Jewelry",1,2,"Men"
2875,"Bracelets",2,2874,"Jewelry"
2876,"Cufflinks",2,2874,"Jewelry"
2878,"Necklaces",2,2874,"Jewelry"
2880,"Rings",2,2874,"Jewelry"
2882,"Office",,,""
2926,"Planners",2,146,"Office Supplies"
2933,"Staplers",2,146,"Office Supplies"
2934,"Staples",2,146,"Office Supplies"
3095,"Baseball Bats",2,2126,"Baseball Equipment"
3098,"Baseball Equipment Bags",2,2126,"Baseball Equipment"
3100,"Baseball Gloves & Mitts",2,2126,"Baseball Equipment"
3105,"Baseball Shirts & Jerseys",2,2126,"Baseball Equipment"
3118,"Basketball Shirts & Jerseys",2,705,"Basketball Equipment"
3122,"Basketballs",2,705,"Basketball Equipment"
3126,"Camping Coolers & Ice Chests",2,2132,"Camping Equipment"
3133,"Outdoor Flashlights",2,2132,"Camping Equipment"
3137,"Sleeping Bags",2,2132,"Camping Equipment"
3141,"Cycling Equipment",1,8,"Sports & outdoors"
3169,"Cardholders",2,22,"Women's accessories"
3170,"Tools",,,""
3499,"Luggage Tags",2,1033,"Travel & Luggage"
3501,"Travel Bags",2,1033,"Travel & Luggage"
3509,"Single Cards",,,""
3511,"Sports Trading Cards",,,""
3532,"Kimono / Yukata",1,2,"Men"
3533,"School Uniform",1,2,"Men"
3550,"Kimono / Yukata",1,1,"Women"
3551,"School Uniform",1,1,"Women"
